Date,Timeframe ,Days Since End of Trial,Time (PAM),Experiment ,Treatment,Trial,Coral ID,Replicate,Buoyant Weight,Wet Weight,Volume,Density ,Alpha,Fv/FM_init,Fv/FM,ETRmax,Y(NPQ),Photo
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,1.1,1,13.54,28.804,15,0.903,,0.685,0.763,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,1.1,2,13.54,28.763,15,0.903,,0.685,0.629,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,1.1,3,13.54,28.789,15,0.903,,0.685,0.663,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,1.2,1,14.69,31.441,15,0.979,,0.602333333,0.611,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,1.2,2,14.68,31.433,15,0.979,,0.602333333,0.606,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,1.2,3,14.69,31.428,15,0.979,,0.602333333,0.59,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,1.3,1,12.94,27.207,15,0.863,,0.560333333,0.558,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,1.3,2,12.94,27.202,15,0.863,,0.560333333,0.583,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,1.3,3,12.94,27.197,15,0.863,,0.560333333,0.54,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,1.4,1,10.3,22.443,10,1.030,,0.526666667,0.536,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,1.4,2,10.3,22.44,10,1.030,,0.526667,0.537,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,1.4,3,10.3,22.44,10,1.030,,0.526667,0.507,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,1.5,1,12.63,26.328,15,0.842,,0.514,0.528,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,1.5,2,12.63,26.324,15,0.842,,0.514,0.502,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,1.5,3,12.63,26.321,15,0.842,,0.514,0.512,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,2.1,1,15.85,34.666,20,0.793,,0.701333333,0.7,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,2.1,2,15.86,34.654,20,0.793,,0.701333,0.675,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,Control,1,2.1,3,15.85,34.884,20,0.793,,0.701333,0.729,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,2.2,1,13.78,29.644,15,0.919,,0.656666667,0.625,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,2.2,2,13.78,29.637,15,0.919,,0.656667,0.679,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P15,1,2.2,3,13.78,29.633,15,0.919,,0.656667,0.666,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,2.3,1,21.39,21.39,25,0.856,,0.704666667,0.733,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,2.3,2,21.39,21.39,25,0.856,,0.704667,0.702,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,P4,1,2.3,3,21.39,21.39,25,0.856,,0.704667,0.679,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,2.4,1,13.06,13.06,15,0.871,,0.653333333,0.621,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,2.4,2,13.06,13.06,15,0.871,,0.653333,0.648,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R4,1,2.4,3,13.05,13.05,15,0.870,,0.653333,0.691,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,2.5,1,12.49,12.49,15,0.833,,0.603666667,0.613,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,2.5,2,12.49,12.49,15,0.833,,0.603667,0.589,,,Yes
2/11/24,Pre,0,8:00,FDEP_Y2,R15,1,2.5,3,12.49,12.49,15,0.833,,0.603667,0.609,,,Yes
3/24/24,Pre,0,13:59,FDEP_Y2,R15,2,3.1,1,14.9,DNE,18,0.828,,0.718333333,0.726,,,Yes
3/24/24,Pre,0,13:59,FDEP_Y2,R15,2,3.1,2,14.89,DNE,18,0.827,,0.718333,0.682,,,Yes
3/24/24,Pre,0,13:59,FDEP_Y2,R15,2,3.1,3,14.89,DNE,18,0.827,,0.718333,0.747,,,Yes
3/24/24,Pre,0,14:00,FDEP_Y2,P4,2,3.2,1,18.68,DNE,20,0.934,,0.637333333,0.673,,,Yes
3/24/24,Pre,0,14:00,FDEP_Y2,P4,2,3.2,2,18.72,DNE,20,0.936,,0.637333,0.633,,,Yes
3/24/24,Pre,0,14:00,FDEP_Y2,P4,2,3.2,3,18.71,DNE,20,0.936,,0.637333,0.606,,,Yes
3/24/24,Pre,0,14:13,FDEP_Y2,Control,2,3.3,1,16.9,DNE,20,0.845,,0.616,0.655,,,Yes
3/24/24,Pre,0,14:13,FDEP_Y2,Control,2,3.3,2,16.9,DNE,20,0.845,,0.616,0.549,,,Yes
3/24/24,Pre,0,14:13,FDEP_Y2,Control,2,3.3,3,16.9,DNE,20,0.845,,0.616,0.644,,,Yes
3/24/24,Pre,0,14:14,FDEP_Y2,P15,2,3.4,1,13.96,DNE,15,0.931,,0.666333333,0.74,,,Yes
3/24/24,Pre,0,14:14,FDEP_Y2,P15,2,3.4,2,13.96,DNE,15,0.931,,0.666333,0.629,,,Yes
3/24/24,Pre,0,14:14,FDEP_Y2,P15,2,3.4,3,13.96,DNE,15,0.931,,0.666333,0.63,,,Yes
3/24/24,Pre,0, 14:15,FDEP_Y2,R4,2,3.5,1,14.63,DNE,15,0.975,,0.642666667,0.66,,,Yes
3/24/24,Pre,0,14:15,FDEP_Y2,R4,2,3.5,2,14.63,DNE,15,0.975,,0.642667,0.665,,,Yes
3/24/24,Pre,0,14:15,FDEP_Y2,R4,2,3.5,3,14.63,DNE,15,0.975,,0.642667,0.603,,,Yes
3/24/24,Pre,0,13:50,FDEP_Y2,P4,2,69.1,1,15.12,DNE,16,0.945,,0.735,0.748,,,Yes
3/24/24,Pre,0,13:50,FDEP_Y2,P4,2,69.1,2,15.12,DNE,16,0.945,,0.735,0.731,,,Yes
3/24/24,Pre,0,13:50,FDEP_Y2,P4,2,69.1,3,15.13,DNE,16,0.946,,0.735,0.726,,,Yes
3/24/24,Pre,0,13:52,FDEP_Y2,R4,2,69.2,1,17.12,DNE,18,0.951,,0.736333333,0.739,,,Yes
3/24/24,Pre,0,13:52,FDEP_Y2,R4,2,69.2,2,17.12,DNE,18,0.951, ,0.73633,0.728,,,Yes
3/24/24,Pre,0,13:52,FDEP_Y2,R4,2,69.2,3,17.12,DNE,18,0.951,,0.73633,0.742,,,Yes
3/24/24,Pre,0,13:54,FDEP_Y2,P15,2,69.3,1,14.11,DNE,16,0.882,,0.687666667,0.706,,,Yes
3/24/24,Pre,0,13:54,FDEP_Y2,P15,2,69.3,2,14.11,DNE,16,0.882,,0.687667,0.687,,,Yes
3/24/24,Pre,0,13:54,FDEP_Y2,P15,2,69.3,3,14.11,DNE,16,0.882,,0.687667,0.67,,,Yes
3/24/24,Pre,0,13:55,FDEP_Y2,Control,2,69.4,1,13.78,DNE,15,0.919,,0.634333333,0.591,,,Yes
3/24/24,Pre,0,13:55,FDEP_Y2,Control,2,69.4,2,13.78,DNE,15,0.919,,0.634333,0.688,,,Yes
3/24/24,Pre,0,13:55,FDEP_Y2,Control,2,69.4,3,13.77,DNE,15,0.918,,0.634333,0.624,,,Yes
3/24/24,Pre,0,13:57,FDEP_Y2,R15,2,69.5,1,9.94,DNE,10,0.994,,0.588666667,0.621,,,Yes
3/24/24,Pre,0,13:57,FDEP_Y2,R15,2,69.5,2,9.95,DNE,10,0.995,,0.588667,0.554,,,Yes
3/24/24,Pre,0,13:57,FDEP_Y2,R15,2,69.5,3,9.95,DNE,10,0.995,,0.588667,0.591,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,1.1,1,13.69,DNE,,,,,0.705,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,1.1,2,13.69,DNE,,,,,0.704,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,1.1,3,13.69,DNE,,,,,0.683,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,1.2,1,14.89,DNE,,,,,0.668,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,1.2,2,14.89,DNE,,,,,0.693,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,1.2,3,14.89,DNE,,,,,0.664,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,1.3,1,13.07,DNE,,,,,0.693,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,1.3,2,13.07,DNE,,,,,0.718,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,1.3,3,13.07,DNE,,,,,0.704,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,1.4,1,10.47,DNE,,,,,0.693,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,1.4,2,10.47,DNE,,,,,0.693,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,1.4,3,10.47,DNE,,,,,0.709,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,1.5,1,13.26,DNE,,,,,0.704,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,1.5,2,13.26,DNE,,,,,0.697,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,1.5,3,13.26,DNE,,,,,0.717,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,2.1,1,15.98,DNE,,,,,0.715,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,2.1,2,15.98,DNE,,,,,0.699,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,Control,1,2.1,3,15.98,DNE,,,,,0.693,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,2.2,1,13.99,DNE,,,,,0.699,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,2.2,2,13.99,DNE,,,,,0.665,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P15,1,2.2,3,13.99,DNE,,,,,0.709,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,2.3,1,21.59,DNE,,,,,0.717,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,2.3,2,21.59,DNE,,,,,0.709,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,P4,1,2.3,3,21.59,DNE,,,,,0.711,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,2.4,1,12.73,DNE,,,,,0.701,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,2.4,2,12.73,DNE,,,,,0.702,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R4,1,2.4,3,12.73,DNE,,,,,0.716,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,2.5,1,12.81,DNE,,,,,0.687,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,2.5,2,12.81,DNE,,,,,0.706,,,Yes
2/25/25,Mid,15,10:00,FDEP_Y2,R15,1,2.5,3,12.81,DNE,,,,,0.699,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,1.1,1,16.07,,,,,,0.716,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,1.1,2,16.07,,,,,,0.656,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,1.1,3,16.07,,,,,,0.76,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,1.2,1,12.72,,,,,,0.713,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,1.2,2,12.72,,,,,,0.637,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,1.2,3,12.72,,,,,,0.711,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,1.3,1,21.68,,,,,,0.673,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,1.3,2,21.67,,,,,,0.667,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,1.3,3,21.67,,,,,,0.701,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,1.4,1,14.28,,,,,,0.691,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,1.4,2,14.31,,,,,,0.531,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,1.4,3,14.31,,,,,,0.696,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,1.5,1,12.84,,,,,,0.602,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,1.5,2,12.84,,,,,,0.659,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,1.5,3,12.84,,,,,,0.642,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,2.1,1,13.93,,,,,,0.693,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,2.1,2,13.94,,,,,,0.656,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,Control,1,2.1,3,13.94,,,,,,0.716,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,2.2,1,10.6,,,,,,0.65,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,2.2,2,10.6,,,,,,0.651,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P15,1,2.2,3,10.6,,,,,,0.627,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,2.3,1,12.96,,,,,,0.687,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,2.3,2,12.96,,,,,,0.684,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,P4,1,2.3,3,12.96,,,,,,0.664,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,2.4,1,13.43,,,,,,0.665,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,2.4,2,13.44,,,,,,0.652,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R4,1,2.4,3,13.44,,,,,,0.685,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,2.5,1,15.11,,,,,,0.653,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,2.5,2,15.1,,,,,,0.703,,,Yes
3/14/25,Post,30,8:50,FDEP_Y2,R15,1,2.5,3,15.11,,,,,,0.758,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,1.1,1,7.89,17.27,10,0.789,,,0.706,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,1.1,2,7.89,18.26,10,0.789,,,0.627,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,1.1,3,7.89,18.27,10,0.789,,,0.635,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,1.2,1,4.99,10.44,5,0.998,,,0.49,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,1.2,2,5,10.44,5,1,,,0.581,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,1.2,3,5.01,10.44,5,1.002,,,0.478,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,1.3,1,8.83,18.95,10,0.883,,,0.574,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,1.3,2,8.83,18.94,10,0.883,,,0.587,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,1.3,3,8.84,18.91,10,0.884,,,0.613,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,1.4,1,6.38,13.66,7,0.911,,,0.578,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,1.4,2,6.37,13.65,7,0.910,,,0.551,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,1.4,3,6.38,13.65,7,0.911,,,0.597,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,1.5,1,6.13,13.94,10,0.613,,,0.598,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,1.5,2,6.13,13.93,10,0.613,,,0.52,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,1.5,3,6.13,13.92,10,0.613,,,0.526,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,2.1,1,6.67,14.57,8,0.834,,,0.677,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,2.1,2,6.69,14.57,8,0.836,,,0.584,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,Control,1,2.1,3,6.68,14.56,8,0.835,,,0.687,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,2.2,1,4.79,8.57,6,0.798,,,0.593,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,2.2,2,4.75,8.56,6,0.792,,,0.569,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P15,1,2.2,3,4.75,8.55,6,0.792,,,0.542,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,2.3,1,3.7,14.41,5,0.740,,,0.578,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,2.3,2,3.7,14.39,5,0.740,,,0.558,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,P4,1,2.3,3,3.7,14.38,5,0.740,,,0.64,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,2.4,1,6.49,9.91,10,0.649,,,0.607,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,2.4,2,6.48,9.9,10,0.648,,,0.572,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R4,1,2.4,3,6.48,9.9,10,0.648,,,0.625,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,2.5,1,4.28,,5,0.856,,,0.649,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,2.5,2,4.28,,5,0.856,,,0.607,,,Yes
3/28/25,Recovery_W1,44,9:45,FDEP_Y2,R15,1,2.5,3,4.28,,5,0.856,,,0.603,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,1.1,1,7.97,17.28,10,0.797,,,0.57,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,1.1,2,7.97,16.66,10,0.797,,,0.596,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,1.1,3,7.97,16.66,10,0.797,,,0.572,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,1.2,1,5.01,10.27,6,0.835,,,0.635,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,1.2,2,5.01,10.03,6,0.835,,,0.536,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,1.2,3,5.01,10.02,6,0.835,,,0.498,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,1.3,1,8.87,18.69,10,0.887,,,0.586,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,1.3,2,8.87,18.4,10,0.887,,,0.552,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,1.3,3,8.87,18.35,10,0.887,,,0.552,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,1.4,1,6.42,13.59,10,0.642,,,0.524,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,1.4,2,6.42,13.47,10,0.642,,,0.528,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,1.4,3,6.42,13.43,10,0.642,,,0.523,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,1.5,1,6.18,13.37,8,0.773,,,0.569,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,1.5,2,6.17,13.08,8,0.771,,,0.555,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,1.5,3,6.17,13.05,8,0.771,,,0.566,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,2.1,1,6.69,14.4,8,0.836,,,0.594,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,2.1,2,6.7,13.94,8,0.838,,,0.548,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,Control,1,2.1,3,6.69,13.89,8,0.836,,,0.588,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,2.2,1,4.88,11.18,6,0.813,,,0.479,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,2.2,2,4.88,10.63,6,0.813,,,0.446,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P15,1,2.2,3,4.88,10.59,6,0.813,,,0.539,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,2.3,1,3.81,8.21,4,0.953,,,0.536,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,2.3,2,3.8,8.08,4,0.950,,,0.557,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,P4,1,2.3,3,3.8,8.07,4,0.950,,,0.5,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,2.4,1,6.58,14.1,8,0.823,,,0.498,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,2.4,2,6.58,13.94,8,0.823,,,0.513,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R4,1,2.4,3,6.58,13.91,8,0.823,,,0.513,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,2.5,1,4.35,10.03,5,0.870,,,0.505,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,2.5,2,4.35,9.76,5,0.870,,,0.545,,,Yes
4/4/25,Recovery_W2,51,9:00,FDEP_Y2,R15,1,2.5,3,4.35,9.75,5,0.870,,,0.619,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R15,2,3.1,1,15,31.48,15,1.000,,,0.633,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R15,2,3.1,2,15,31.02,15,1.000,,,0.653,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R15,2,3.1,3,15,31.33,15,1.000,,,0.632,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,3.2,1,18.75,38.02,19,0.987,,,0.652,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,3.2,2,18.77,38.57,19,0.988,,,0.636,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,3.2,3,18.6,38.26,19,0.979,,,0.695,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,Control,2,3.3,1,17,35.25,19,0.895,,,0.583,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,Control,2,3.3,2,17.03,35.19,18,0.946,,,0.628,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,Control,2,3.3,3,17.06,35.54,18,0.948,,,0.614,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P15,2,3.4,1,14.1,29.29,14,1.007,,,0.674,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P15,2,3.4,2,14.02,28.76,17,0.825,,,0.606,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P15,2,3.4,3,14.1,29.42,15,0.940,,,0.644,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,3.5,1,14.73,31.05,15,0.982,,,0.632,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,3.5,2,14.73,30.35,17,0.866,,,0.618,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,3.5,3,14.73,30.28,15,0.982,,,0.62,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,69.1,1,15.21,32.4,15,1.014,,,0.692,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,69.1,2,15.2,31.52,20,0.760,,,0.646,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P4,2,69.1,3,15.2,31.98,15,1.013,,,0.692,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,69.2,1,17.25,36.08,18,0.958,,,0.656,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,69.2,2,17.24,36.32,19,0.907,,,0.609,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,R4,2,69.2,3,17.22,36.42,19,0.906,,,0.58,,,Yes
4/8/25,Mid,15,10:00,FDEP_Y2,P15,2,69.3,1,14.25,30.82,15,0.950,,,0.644,,,Yes
